Msg,Tytuł,Znaczenie,Typowe przyczyny,Fix
21,Severity 21 errors,Błędy poziomu 21 – awarie bazy/procesu.,Poważne błędy wewnętrzne.,"Przejrzyj errorlog, pamięć/dyski, skontaktuj MS Support przy powtarzalności."
53,Could not open a connection,Nie udało się połączyć z serwerem.,Firewall/port/alias/instancja.,"Test połączenia, porty, Browser, TCP/IP."
102,Incorrect syntax near …,Błąd składni.,"Literówki, brak średników, batch.",Popraw składnię.
105,Unclosed quotation mark,Niezamknięty cudzysłów.,Łańcuchy znakowe.,Zamknij/literal-escape.
120,Wait type timeout,Timeout operacji (różny kontekst).,"Konkurencja, locki.","Indeksy, skróć transakcje, diagnostyka waits."
121,The semaphore timeout period has expired,Timeout I/O/SMB (Windows).,Sieć/dyski/SMB.,"Sprawdź łącza, sterowniki HBA/NIC."
207,Invalid column name,Nieprawidłowa nazwa kolumny.,"Zmieniony schemat, literówka.",Popraw nazwę; odśwież plan.
208,Invalid object name,Nieprawidłowa nazwa obiektu.,Zła baza/schemat.,"Ustaw `USE`, kwalifikuj `schema.object`."
229,Permission denied,Brak uprawnień do obiektu.,"Brak GRANT, DENY, schemat.",GRANT/rola; usuń DENY.
233,Client disconnected,Klient rozłączył się.,"Keepalive, network reset, pooling.","Sprawdź sieć, pooling, timeouts."
245,Conversion failed,Błędna konwersja danych.,Nieliczbowe znaki itp.,"TRY_CONVERT/TRY_CAST, walidacja."
2627,Violation of PRIMARY KEY,Duplikat klucza głównego.,Wstawiasz istniejący klucz.,"UPSERT, deduplikacja."
2601,Cannot insert duplicate key row,Naruszenie indeksu unikalnego.,Duplikat wartości.,"UPSERT, deduplikacja."
2714,There is already an object named …,Obiekt już istnieje.,Ponowna kreacja.,IF NOT EXISTS / DROP.
2812,Could not find stored procedure,Nie znaleziono procedury.,Zła baza/schemat.,USE + schema.proc.
3013,BACKUP/RESTORE terminating,Kończący komunikat backup/restore.,Patrz poprzedzający błąd.,Napraw przyczynę powyżej.
3154,RESTORE… WITH REPLACE needed,Przywracasz inną bazę.,Niezgodny nagłówek.,WITH REPLACE / DROP DB.
